half,exit_strategy,category,signals,closed,win_rate,total_pnl,pnl_per_dollar,avg_edge
H1,hold_to_resolution,POLITICS,24,22,0.8636363636363636,130.9,0.11900248041607472,0.15004545454545454
H1,hold_to_resolution,SPORTS,1,1,1.0,14.52,0.29032258064516125,0.245
H1,copy_exits,POLITICS,24,22,0.8636363636363636,137.18,0.12470860706925152,0.13149999999999998
H1,copy_exits,SPORTS,1,1,1.0,14.52,0.29032258064516125,0.245
H2,hold_to_resolution,POLITICS,46,45,0.7333333333333333,347.73,0.15454676002639792,0.05629999999999999
H2,hold_to_resolution,SPORTS,76,76,0.6973684210526315,1500.81,0.3949490148359611,0.13509210526315787
H2,hold_to_resolution,CRYPTO,1,1,1.0,80.72,1.61437908496732,0.6375
H2,hold_to_resolution,UNMAPPED,1,1,1.0,5.77,0.11544896820970445,0.12350000000000005
H2,copy_exits,POLITICS,46,45,0.6444444444444445,-46.09,-0.020485322875414144,-0.00303333333333334
H2,copy_exits,SPORTS,76,76,0.6973684210526315,1500.81,0.3949490148359611,0.13509210526315787
H2,copy_exits,CRYPTO,1,1,1.0,80.72,1.61437908496732,0.6375
H2,copy_exits,UNMAPPED,1,1,1.0,5.77,0.11544896820970445,0.12350000000000005
