| wallet      | username             | categories                           |   pnl_month |   pnl/vol |   edge |   rbuys |   consist |   markets |   trades | MM   | conc   | cohorts   | sel   |
|-------------|----------------------|--------------------------------------|-------------|-----------|--------|---------|-----------|-----------|----------|------|--------|-----------|-------|
| 0x55be7aa0… | coinman2             | CRYPTO                               |      20,555 |      0.1  |   0.05 |    1094 |      0.38 |        63 |     1500 |      |        | ABC       | Y     |
| 0x32ed2e54… | mo-money             | CRYPTO                               |      17,180 |      0.05 |  -0.01 |    1473 |      0.57 |       807 |     1500 |      |        | A         | Y     |
| 0x38853725… | easypredict          | CRYPTO                               |      16,075 |      0.18 |   0.11 |    1369 |      0.46 |        43 |     1500 |      |        | ABC       | Y     |
| 0xc2ad03f7… | bosona               | CRYPTO                               |      15,238 |      0.05 |   0.01 |    1479 |      0.58 |       821 |     1500 |      |        | A         | Y     |
| 0xeebde7a0… | Bonereaper           | CRYPTO                               |      15,076 |      0    |  -0.01 |     486 |      0.57 |        61 |     1500 |      |        | A         | Y     |
| 0xa7011667… | BadTattoo            | CRYPTO                               |      14,996 |           |   0.16 |      68 |      0.75 |        28 |      103 |      |        | AC        | Y     |
| 0x20d2309c… |                      | CRYPTO                               |      13,776 |      0.01 |   0.05 |     447 |      0.53 |        54 |     1500 | Y    |        |           |       |
| 0xf3531b23… | powerwinner          | CRYPTO                               |      13,726 |      0.01 |  -0.03 |     889 |      0.5  |        64 |     1500 |      |        | A         | Y     |
| 0xed2f4c1a… | 0xeD2F4C1a5b2Ea42eb0 | CRYPTO                               |      12,686 |      0.3  |   0.12 |     272 |      0.39 |       125 |      287 |      |        | ABC       | Y     |
| 0x48ac40fc… | BoneOhio             | CRYPTO                               |      12,177 |      0.02 |   0.04 |    1387 |      0.63 |       560 |     1500 |      |        | AC        | Y     |
| 0x3725d52f… | almach               | CRYPTO                               |      12,085 |      0.04 |  -0    |    1490 |      0.64 |       882 |     1500 |      |        | A         | Y     |
| 0x568b0798… |                      | CRYPTO                               |      11,919 |      0.01 |        |       0 |           |         0 |        0 |      |        |           |       |
| 0x251c1a28… | 0xAAAAA              | CRYPTO                               |      11,708 |      0.02 |   0.02 |     791 |      0.51 |        69 |     1500 |      |        | A         | Y     |
| 0xf9b7876b… |                      | CRYPTO                               |      11,648 |      0.01 |        |       0 |           |         0 |        0 |      |        |           |       |
| 0xb55fa129… | 0xb55fa1296E6ec55D0c | CRYPTO                               |      10,160 |      0.01 |   0.05 |    1310 |      0.54 |       166 |     1500 |      |        | AC        | Y     |
