wallet,username,n_all,edge_all,n_eligible,stake_eligible,edge_eligible
0xa6a872ded6039c17a9e5c81b706c04e76fbeba32,eyeseethefuture,3,2.6586,2,125120,2.6639
0x0f003f00e53f0dbb063e14b4da093ac8e3f473ce,,31,1.2925,9,35930,1.6796
0xf7bbfd4588f578697c0051e855d5d1a8838ba9f7,PiMaak,125,0.2409,5,10442,0.9363
0x6a5121acdc5e4fc2980d177a0aa729315ce6006e,Bizzzhh,90,0.3578,3,15463,0.8609
0x12ed45d2b45259d27a7fb593e564cd269c4fc9b4,sazzaa,247,0.1922,1,2035,0.8117
0xdf8103a369799de9f938a6ffcfca446e1c3e697d,gummy-usb,76,0.136,4,9035,0.7726
0x96a3a4d0f0a91074a43ce8dc39d1f092a717d944,master-wuji,44,0.4472,11,17389,0.7694
0x23d81ba9371e576015c1e562db09c689f56b0288,flawfence,78,0.7191,35,272002,0.7455
0x06b2934b382d4429d50d7239ee375a76167f9f35,0x06b2934b382D4429D50d7239eE37,215,0.3714,9,108908,0.6189
0xd4aea3e87d6d16badf19386f2049342b0e138ead,shijiebeiyingshibei,187,0.5996,10,53557,0.6093
0x9ee8bbc36d378af72e5f6b8e2ea2eb67c05a89de,Qpkwks,25,0.4559,23,1428685,0.4559
0x73ecf6a30d3c6538cd931ec13c9ed6eba944f5bb,ChampagneSocialist,34,0.4287,4,14795,0.45
0x381b9294c1b95b61d018ff56312fbcc4897c4d74,hansama231,51,0.4413,26,354626,0.4478
0xa974826f82380f9bb3d5b9c722c50f82fb1aef79,tmoneeey,280,0.3357,84,265269,0.4424
0x853c37a959a5791b849e3f3225c7f5963746bd03,WarriorPooh,355,0.3816,150,862781,0.4287
0xc3db6a07351313cc684759dee1722d2bb1e90f98,0xC3Db6a07351313cc684759Dee172,150,0.3833,41,210886,0.4273
0x45721362269008ac5988bec2e5c22ca463af5e86,maksimsoldout,54,0.3784,20,63064,0.4142
0xd86ec82a0da8c70d6c12ae06f2990b89bdca45ce,fgdfhr666,55,0.3986,30,277202,0.3944
0x3594526e2a0aaf467038ee1799d6ded344aedc58,Linslav,107,0.2257,14,26110,0.3937
0x65018f9fc473f6e920b8929a375d39c26a461220,cnyek,41,0.3672,39,2084790,0.364
0x36a74fda8204b1e1680b8512613b0b520f7eb6e9,nerongod,32,0.3317,15,101545,0.3503
