wallet,username,categories,cohorts,verdict,n_resolved,stake_usd,edge,edge_per_share,edge_cash,cash_ok_frac,ci_lo,ci_hi,win_rate,h1_edge,h2_edge,time_replicates,mkt_a_edge,mkt_b_edge,mkt_replicates,wf_positive,wf_judged,top3_win_share,edge_wo_top3,span_days,score,stake_resolved_frac,avg_entry_price,med_stake,med_volume,med_hold_days,maker_share,first_trade
0x23d81ba9371e576015c1e562db09c689f56b0288,flawfence,POLITICS,"A,B,C",CONSISTENT,78,290750,0.7191,0.2979,0.5986,0.8974,0.4062,1.1026,0.6923,0.8667,0.4991,True,0.7317,0.7081,True,6,6,0.437,0.4451,67.9,0.9011,0.5076,0.4143,960.832,418366.0865,0.5454,0.952,2026-04-25
0x65018f9fc473f6e920b8929a375d39c26a461220,cnyek,SPORTS,"A,B,C",CONSISTENT_YOUNG,41,2085639,0.3672,0.1838,0.3523,0.9512,0.0779,0.669,0.6829,,,,0.4225,0.3173,True,,,0.3471,0.1979,52.1,0.8831,0.9646,0.5004,39169.0,6879447.5536,0.4798,0.874,2026-05-09
0x4f315c1f2fcfbcbccc31fa28ae086babf309efa3,DFV2,CRYPTO,"A,B,C",CONSISTENT,144,1634157,0.061,0.0575,0.0542,1.0,0.0426,0.0805,0.9931,0.0875,0.0353,True,0.0653,0.0565,True,6,6,0.4355,0.046,139.7,0.8725,0.9323,0.9419,3414.8468,355099.7357,20.6826,0.0,2026-01-30
0x5371f1b6954e31c502064614649cea3568cb76eb,oegdatam,CRYPTO,"A,B,C",CONSISTENT,147,2141568,0.0493,0.047,0.0322,1.0,0.0395,0.0608,1.0,0.0595,0.0303,True,0.0483,0.0503,True,5,5,0.3196,0.0452,139.0,0.8694,0.9042,0.953,4779.8299,339151.7559,16.5048,0.0,2026-02-12
0x96a3a4d0f0a91074a43ce8dc39d1f092a717d944,master-wuji,SPORTS,"A,B,C",CONSISTENT_YOUNG,44,31210,0.4472,0.1993,0.4548,1.0,0.088,0.7693,0.6136,,,,0.5256,0.3785,True,,,0.3077,0.2665,54.7,0.8597,0.4041,0.4457,510.0,1456581.864,0.0376,0.961,2026-05-08
0x73ecf6a30d3c6538cd931ec13c9ed6eba944f5bb,ChampagneSocialist,TECH,"B,C",CONSISTENT_YOUNG,34,31212,0.4287,0.241,0.3973,0.9412,0.0288,0.7401,0.8235,,,,0.4719,0.3771,True,3,4,0.5834,0.1579,121.2,0.8582,0.9982,0.5621,381.327,63458.6066,18.296,0.6545,2026-02-09
0xb66582886125a2a2ea966f1ea60ea60b6ecabf8f,Aeglos,POLITICS,"A,B,C",CONSISTENT_YOUNG,16,922745,0.046,0.0409,0.0309,0.8125,0.0311,0.0679,0.9375,,,,0.0439,0.0489,True,1,1,0.5491,0.0401,149.0,0.8544,0.7442,0.8887,14670.8484,38740980.4461,37.6537,0.492,2026-01-13
0xbf961d0c79db0bf55050cadc0995835f09c09942,browne,POLITICS,"A,B,C",CONSISTENT,96,216167,0.1576,0.1206,0.1122,0.8333,0.0531,0.2416,0.75,0.0515,0.21,True,0.2001,0.1075,True,5,6,0.3518,0.0941,174.7,0.8409,0.6936,0.7657,949.0,2257950.4236,12.4708,0.711,2026-01-05
0x98d04f9eb52d08ef9697f6eb8d7cfe8d46e5f14a,mrworldwide,POLITICS,"A,B,C",CONSISTENT,535,294096,0.1044,0.0711,0.0335,0.8804,0.0156,0.1954,0.7196,0.1986,0.0622,True,0.0892,0.1167,True,6,6,0.2194,0.0553,181.9,0.8325,0.8979,0.6811,168.1829,88213.8346,3.1878,0.728,2026-01-01
0xc9dcc3d90ad3e34fe4132eb8661ae728d6da9026,keribit,POLITICS,B,CONSISTENT,65,563979,0.0145,0.0143,0.0134,0.7692,0.0112,0.0181,1.0,0.0142,0.0147,True,0.0131,0.0159,True,6,6,0.3159,0.0126,167.8,0.8317,0.8484,0.9857,4990.0,3328347.5158,22.2938,0.975,2026-01-01
